"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2019,201901,5816,2019000233261,10990.8,2019000058161,130201,1,3,10836.0,0,0,1,17,6,2,200,0,0,4,40,3,30,0,1,11
2019,201901,5816,2019000233261,10990.8,2019000058161,130201,1,4,6811.2,0,0,2,17,6,2,200,0,0,4,40,3,30,0,1,11
2019,201901,6745,2019000298024,14860.8,2019000067451,10001,1,1,14860.8,1,0,2,61,1,1,100,0,0,6,63,1,10,72000,1,11
2019,201901,6745,2019000298024,14860.8,2019000067451,10001,1,2,12384.0,1,0,1,61,1,1,100,0,0,6,63,1,10,31000,1,11
2019,201901,6745,2019000298024,14860.8,2019000067451,10001,1,3,22291.2,0,0,2,22,6,1,100,0,0,10,101,1,10,20000,1,11
2019,201901,7055,2019000317852,5108.4,2019000070551,50001,1,1,4953.6,3,1,2,39,1,1,100,0,0,6,65,1,10,31600,1,11
2019,201901,7055,2019000317852,5108.4,2019000070551,50001,1,2,6192.0,3,1,1,37,1,1,100,0,0,6,63,1,10,50000,1,11
2019,201901,7055,2019000317852,5108.4,2019000070551,50001,1,3,5727.6,0,0,2,12,6,1,100,0,0,2,22,0,0,999999,0,0
2019,201901,7055,2019000317852,5108.4,2019000070551,50001,1,4,4953.6,0,0,1,4,6,1,100,0,0,0,2,0,0,999999,0,0
2019,201901,7055,2019000317852,5108.4,2019000070551,50001,1,5,6037.2,0,0,1,11,6,1,100,0,0,2,22,0,0,999999,0,0
2019,201901,7674,2019000362152,7740.0,2019000076741,250001,1,1,7585.2,0,0,1,56,1,1,100,0,0,8,81,1,10,39000,2,20
2019,201901,7674,2019000362152,7740.0,2019000076741,250001,1,2,6037.2,0,0,2,58,1,1,100,0,0,6,63,1,10,6000,1,11
2019,201901,7829,2019000373142,7585.2,2019000078291,60001,1,1,7585.2,1,0,2,37,4,1,100,0,0,7,71,1,10,23000,1,11
2019,201901,7829,2019000373142,7585.2,2019000078291,60001,1,2,11919.6,1,0,1,22,6,1,100,0,0,6,63,1,10,20000,1,11
2019,201901,7829,2019000373142,7585.2,2019000078291,60001,1,3,6966.0,0,0,2,9,6,1,100,0,0,1,16,0,0,999999,0,0
2019,201901,7984,2019000383824,25542.0,2019000079841,120001,1,1,25542.0,0,0,1,58,4,2,200,0,0,7,71,1,10,150000,1,11
2019,201901,8293,2019000406643,18266.4,2019000082931,210001,1,1,18266.4,0,0,1,52,1,1,100,0,0,10,101,1,10,80000,1,11
2019,201901,8293,2019000406643,18266.4,2019000082931,210001,1,2,15789.6,0,0,2,52,1,1,100,0,0,11,114,1,10,51000,1,11
2019,201901,8293,2019000406643,18266.4,2019000082931,210001,1,3,19969.2,0,0,2,93,5,1,100,0,0,6,64,3,30,0,1,11
2019,201901,8448,2019000418071,6966.0,2019000084481,90001,1,1,6966.0,0,0,2,38,4,1,100,0,0,6,63,1,10,15000,1,13
2019,201901,8603,2019000429751,1393.2,2019000086031,10001,1,1,1393.2,2,0,2,47,1,1,100,0,0,10,101,1,10,68000,1,11
2019,201901,8603,2019000429751,1393.2,2019000086031,10001,1,2,1548.0,2,0,1,52,1,1,100,0,0,6,65,1,10,38300,1,11
2019,201901,8603,2019000429751,1393.2,2019000086031,10001,1,3,774.0,0,0,2,16,6,1,100,0,0,3,30,3,30,0,0,0
2019,201901,8603,2019000429751,1393.2,2019000086031,10001,1,4,1238.4,0,0,1,14,6,1,100,0,0,2,25,0,0,999999,0,0
2019,201901,8758,2019000439982,11145.6,2019000087581,250001,1,1,11145.6,0,0,2,51,6,1,100,0,0,11,114,1,10,80000,1,11
2019,201901,9377,2019000483520,12229.2,2019000093771,220001,1,1,12229.2,1,0,2,37,4,2,200,0,0,11,114,1,10,42000,1,11
2019,201901,9377,2019000483520,12229.2,2019000093771,220001,1,2,10062.0,0,0,1,19,6,2,200,0,0,6,63,1,10,6000,1,11
2019,201901,9532,2019000494102,12538.8,2019000095321,240001,1,1,12538.8,1,0,2,55,4,2,200,0,0,6,63,1,10,45000,1,11
2019,201901,9532,2019000494102,12538.8,2019000095321,240001,1,2,17956.8,0,0,1,34,6,2,200,0,0,4,40,3,30,0,1,11
2019,201901,9686,2019000504769,21052.8,2019000096861,270301,1,1,20898.0,4,2,2,33,1,8,802,0,0,6,65,1,10,23600,1,11
2019,201901,9686,2019000504769,21052.8,2019000096861,270301,1,2,14241.6,4,2,1,35,1,1,100,0,0,8,81,1,10,85000,1,11
2019,201901,9686,2019000504769,21052.8,2019000096861,270301,1,3,8204.4,0,0,2,13,6,8,802,0,0,2,25,0,0,999999,0,0
2019,201901,9686,2019000504769,21052.8,2019000096861,270301,1,4,9752.4,0,0,2,3,6,8,802,0,0,0,2,0,0,999999,0,0
2019,201901,9686,2019000504769,21052.8,2019000096861,270301,1,5,9597.6,0,0,1,0,6,8,802,0,0,0,1,0,0,999999,0,0
2019,201901,9686,2019000504769,21052.8,2019000096861,270301,1,6,18111.6,0,0,1,6,6,9,917,0,0,1,14,0,0,999999,0,0
2019,201901,10151,2019000537618,1857.6,2019000101511,250001,1,1,1857.6,3,1,2,37,1,1,100,0,0,6,65,1,10,28000,1,11
2019,201901,10151,2019000537618,1857.6,2019000101511,250001,1,2,1702.8,3,1,1,41,1,1,100,0,0,6,63,1,10,35000,1,11
2019,201901,10151,2019000537618,1857.6,2019000101511,250001,1,3,2167.2,0,0,1,15,6,1,100,0,0,3,30,0,0,999999,0,0
2019,201901,10151,2019000537618,1857.6,2019000101511,250001,1,4,2167.2,0,0,1,13,6,1,100,0,0,2,26,0,0,999999,0,0
2019,201901,10151,2019000537618,1857.6,2019000101511,250001,1,5,2476.8,0,0,1,0,6,1,100,0,0,0,1,0,0,999999,0,0
2019,201901,10460,2019000557663,9752.4,2019000104601,250001,1,1,9752.4,0,0,2,63,6,1,100,0,0,6,63,3,30,0,1,11
2019,201901,10460,2019000557663,9752.4,2019000104601,250001,1,2,18266.4,1,0,2,82,4,1,100,0,0,2,25,3,30,0,1,11
2019,201901,10460,2019000557663,9752.4,2019000104601,250001,1,3,23839.2,0,0,2,51,5,1,100,0,0,8,81,1,10,33700,1,11
2019,201901,10615,2019000568846,25387.2,2019000106151,260001,1,1,25542.0,0,0,2,40,4,1,100,0,0,8,81,1,10,25000,1,11
2019,201901,10770,2019000579506,5263.2,2019000107701,10001,1,1,5263.2,2,0,2,43,1,1,100,0,0,10,101,1,10,35000,1,11
2019,201901,10770,2019000579506,5263.2,2019000107701,10001,1,2,12229.2,2,0,1,46,1,1,100,0,0,8,81,1,10,33000,1,11
2019,201901,10770,2019000579506,5263.2,2019000107701,10001,1,3,10681.2,0,0,1,17,6,1,100,0,0,5,50,1,10,5000,1,11
2019,201901,10770,2019000579506,5263.2,2019000107701,10001,1,4,10836.0,0,0,1,16,6,1,100,0,0,4,40,3,30,2500,0,0
2019,201901,11080,2019000602548,3560.4,2019000110801,20001,1,1,3405.6,0,0,1,35,1,2,200,0,0,10,101,1,10,113000,1,11
2019,201901,11080,2019000602548,3560.4,2019000110801,20001,1,2,3560.4,0,0,2,35,1,2,200,0,0,11,114,1,10,66000,1,11
2019,201901,11234,2019000613149,11455.2,2019000112341,270301,1,1,11455.2,0,0,1,56,6,1,100,0,0,6,63,1,10,16000,1,11
2019,201901,11234,2019000613149,11455.2,2019000112341,270301,1,2,16718.4,0,0,1,41,4,1,100,0,0,8,81,1,10,0,1,11
2019,201901,11544,2019000633293,9907.2,2019000115441,170001,1,1,9907.2,1,0,1,40,6,1,100,0,0,6,64,1,10,45000,1,11
2019,201901,11544,2019000633293,9907.2,2019000115441,170001,1,2,8823.6,1,0,2,35,6,1,100,0,0,6,64,1,10,600,1,11
2019,201901,11544,2019000633293,9907.2,2019000115441,170001,1,3,10836.0,0,0,2,10,6,1,100,0,0,1,16,0,0,999999,0,0
2019,201901,12318,2019000686621,21517.2,2019000123181,210001,1,1,21672.0,0,0,1,56,6,1,100,0,0,6,65,1,10,0,1,11
2019,201901,12318,2019000686621,21517.2,2019000123181,210001,1,2,47059.2,0,0,2,42,3,1,100,0,0,6,63,3,30,0,1,11
2019,201901,12318,2019000686621,21517.2,2019000123181,210001,1,3,21672.0,0,0,2,29,6,1,100,0,0,4,40,3,30,0,1,11
2019,201901,12318,2019000686621,21517.2,2019000123181,210001,1,4,28173.6,0,0,1,26,2,1,100,0,0,6,64,1,10,30000,1,11
2019,201901,12473,2019000698294,7894.8,2019000124731,240001,1,1,7894.8,1,1,1,44,1,1,100,0,0,7,71,1,10,15000,1,11
2019,201901,12473,2019000698294,7894.8,2019000124731,240001,1,2,8204.4,1,1,2,34,1,1,100,0,0,10,101,1,10,25000,1,11
2019,201901,12473,2019000698294,7894.8,2019000124731,240001,1,3,7585.2,0,0,1,1,6,1,100,0,0,0,1,0,0,999999,0,0
2019,201901,12628,2019000708902,1857.6,2019000126281,230001,1,1,1857.6,2,0,1,39,1,1,100,0,0,6,63,1,10,30000,1,11
2019,201901,12628,2019000708902,1857.6,2019000126281,230001,1,2,2167.2,2,0,2,34,1,1,100,0,0,6,63,1,10,45000,1,11
2019,201901,12628,2019000708902,1857.6,2019000126281,230001,1,3,3405.6,0,0,1,11,6,1,100,0,0,1,17,0,0,999999,0,0
2019,201901,12628,2019000708902,1857.6,2019000126281,230001,1,4,4024.8,0,0,2,9,6,1,100,0,0,1,15,0,0,999999,0,0
2019,201901,12782,2019000719308,22755.6,2019000127821,200001,1,1,22755.6,0,0,2,28,6,1,100,0,0,11,114,1,10,43000,1,11
2019,201901,12782,2019000719308,22755.6,2019000127821,200001,1,2,14241.6,0,0,1,30,6,1,100,0,0,10,101,1,10,46100,1,11
2019,201901,13092,2019000740008,34056.0,2019000130921,200001,1,1,34210.8,2,0,2,68,1,2,200,0,0,6,63,3,30,0,1,11
2019,201901,13092,2019000740008,34056.0,2019000130921,200001,1,2,48452.4,2,0,1,64,1,2,200,0,0,7,71,3,30,0,2,20
2019,201901,13092,2019000740008,34056.0,2019000130921,200001,1,3,51238.8,0,0,1,36,6,2,200,0,0,6,63,1,10,16700,1,11
2019,201901,13092,2019000740008,34056.0,2019000130921,200001,1,4,72910.8,0,0,1,34,6,2,200,0,0,6,63,1,10,6000,1,11
2019,201901,13402,2019000761715,43963.2,2019000134021,160001,1,1,43963.2,2,2,1,30,1,1,100,0,0,10,101,1,10,58000,1,11
2019,201901,13402,2019000761715,43963.2,2019000134021,160001,1,2,29721.6,2,2,2,25,1,1,100,0,0,8,81,3,30,1000,1,11
2019,201901,13402,2019000761715,43963.2,2019000134021,160001,1,3,26161.2,0,0,1,2,6,1,100,0,0,0,1,0,0,999999,0,0
2019,201901,13402,2019000761715,43963.2,2019000134021,160001,1,4,26316.0,0,0,1,0,6,1,100,0,0,0,1,0,0,999999,0,0
2019,201901,13556,2019000773511,2631.6,2019000135561,250001,1,1,2476.8,0,0,2,59,4,1,100,0,0,7,71,1,10,15000,2,20
2019,201901,13711,2019000784940,25542.0,2019000137111,240001,1,1,25542.0,0,0,1,25,6,2,200,0,0,7,71,1,10,30000,1,11
2019,201901,13711,2019000784940,25542.0,2019000137111,240001,1,2,21981.6,0,0,1,24,6,2,200,0,0,7,71,1,10,18100,1,13
2019,201901,13866,2019000796326,2631.6,2019000138661,250001,1,1,2631.6,0,0,1,64,1,1,100,0,0,10,101,1,10,115000,1,11
2019,201901,13866,2019000796326,2631.6,2019000138661,250001,1,2,2476.8,0,0,2,55,1,1,100,0,0,7,71,1,10,36000,1,11
2019,201901,14021,2019000806149,8668.8,2019000140211,80001,1,1,8668.8,2,1,1,38,1,1,100,0,0,6,63,1,10,95000,1,11
2019,201901,14021,2019000806149,8668.8,2019000140211,80001,1,2,10062.0,2,1,2,37,1,1,100,0,0,11,114,1,10,69000,1,11
2019,201901,14021,2019000806149,8668.8,2019000140211,80001,1,3,9133.2,0,0,2,11,6,1,100,0,0,2,22,0,0,999999,0,0
2019,201901,14021,2019000806149,8668.8,2019000140211,80001,1,4,11919.6,0,0,2,0,6,1,100,0,0,0,1,0,0,999999,0,0
2019,201901,14176,2019000816669,22291.2,2019000141761,130101,1,1,22446.0,0,0,2,30,6,1,100,1,100,6,63,1,10,30000,1,11
2019,201901,14176,2019000816669,22291.2,2019000141761,130101,1,2,35913.6,0,0,1,30,6,1,100,1,100,2,23,1,10,54000,1,11
2019,201901,14176,2019000816669,22291.2,2019000141761,130101,1,3,48297.6,1,0,1,70,4,1,100,1,100,0,2,3,30,0,1,11
2019,201901,14330,2019000827096,8049.6,2019000143301,50001,1,1,8049.6,2,2,2,23,6,1,100,0,0,8,81,1,10,21000,1,11
2019,201901,14330,2019000827096,8049.6,2019000143301,50001,1,2,6811.2,0,0,2,1,6,1,100,0,0,0,1,0,0,999999,0,0
2019,201901,14330,2019000827096,8049.6,2019000143301,50001,1,3,6966.0,0,0,2,0,6,1,100,0,0,0,1,0,0,999999,0,0
2019,201901,14485,2019000837447,15015.6,2019000144851,270101,1,1,15015.6,0,0,1,23,6,1,100,0,0,10,101,1,10,5000,1,11
2019,201901,14640,2019000848724,51703.2,2019000146401,260001,1,1,51548.4,0,0,2,57,1,1,100,0,0,3,30,1,10,20300,1,11
2019,201901,14640,2019000848724,51703.2,2019000146401,260001,1,2,49690.8,0,0,1,60,1,1,100,0,0,4,40,3,30,0,1,11
2019,201901,14950,2019000871814,3096.0,2019000149501,250001,1,1,3096.0,0,0,2,45,4,1,100,0,0,6,65,3,30,0,1,11
2019,201901,14950,2019000871814,3096.0,2019000149501,250001,1,2,3096.0,0,0,1,47,4,1,100,0,0,6,64,1,12,43000,1,11
2019,201901,15414,2019000902938,10371.6,2019000154141,110001,1,1,10371.6,0,0,2,65,1,1,100,0,0,7,71,1,10,0,1,11
2019,201901,15414,2019000902938,10371.6,2019000154141,110001,1,2,7740.0,0,0,1,62,1,1,100,0,0,6,64,3,30,0,1,11
2019,201901,15724,2019000926599,11610.0,2019000157241,130301,1,1,11455.2,2,0,1,37,1,1,100,0,0,11,115,1,10,368000,1,11
2019,201901,15724,2019000926599,11610.0,2019000157241,130301,1,2,10526.4,2,0,2,36,1,1,100,0,0,11,115,1,10,368000,1,11
2019,201901,15724,2019000926599,11610.0,2019000157241,130301,1,3,13932.0,0,0,2,8,6,1,100,0,0,1,15,0,0,999999,0,0
2019,201901,15724,2019000926599,11610.0,2019000157241,130301,1,4,11145.6,0,0,1,5,6,1,100,0,0,1,11,0,0,999999,0,0
2019,201901,16188,2019000957582,5727.6,2019000161881,90001,1,1,5727.6,0,0,1,32,1,1,100,0,0,6,63,1,12,2000,1,11
2019,201901,16188,2019000957582,5727.6,2019000161881,90001,1,2,8049.6,0,0,2,50,1,1,100,0,0,6,63,3,30,0,1,11
2019,201901,16343,2019000968269,4953.6,2019000163431,230001,1,1,4798.8,0,0,1,41,6,1,100,0,0,11,116,1,10,368000,1,11
2019,201901,16652,2019000990668,21362.4,2019000166521,110001,1,1,21362.4,1,0,1,51,1,1,100,0,0,10,101,1,10,145000,1,11
2019,201901,16652,2019000990668,21362.4,2019000166521,110001,1,2,28947.6,1,0,2,49,1,1,100,0,0,6,63,1,10,25000,1,11
2019,201901,16652,2019000990668,21362.4,2019000166521,110001,1,3,16099.2,0,0,2,15,6,1,100,0,0,2,26,0,0,999999,0,0
2019,201901,16807,2019001001923,14396.4,2019000168071,250001,1,1,14396.4,1,0,2,48,1,1,100,0,0,11,114,1,10,94000,1,11
2019,201901,16807,2019001001923,14396.4,2019000168071,250001,1,2,15634.8,1,0,1,48,1,1,100,0,0,11,114,1,10,200000,2,20
2019,201901,16807,2019001001923,14396.4,2019000168071,250001,1,3,14706.0,0,0,2,15,6,1,100,0,0,3,30,0,0,999999,0,0
2019,201901,16962,2019001012480,2786.4,2019000169621,230001,1,1,2786.4,2,0,1,53,1,1,100,0,0,8,81,1,10,125000,1,11
2019,201901,16962,2019001012480,2786.4,2019000169621,230001,1,2,1702.8,2,0,2,51,1,1,100,0,0,8,81,3,30,0,1,11
2019,201901,16962,2019001012480,2786.4,2019000169621,230001,1,3,2167.2,0,0,2,21,6,1,100,0,0,8,81,1,10,1000,1,11
2019,201901,16962,2019001012480,2786.4,2019000169621,230001,1,4,2012.4,0,0,2,11,6,1,100,0,0,2,22,0,0,999999,0,0
2019,201901,17117,2019001021857,15634.8,2019000171171,20001,1,1,15789.6,2,0,1,68,1,1,100,0,0,11,114,1,10,50000,1,11
2019,201901,17117,2019001021857,15634.8,2019000171171,20001,1,2,17647.2,2,0,2,73,1,1,100,0,0,7,71,3,30,0,1,11
2019,201901,17117,2019001021857,15634.8,2019000171171,20001,1,3,43963.2,0,0,1,41,6,1,100,0,0,7,71,1,10,48300,1,11
2019,201901,17117,2019001021857,15634.8,2019000171171,20001,1,4,54954.0,0,0,2,35,6,1,100,0,0,10,101,1,10,9800,1,11
2019,201901,17426,2019001042391,10990.8,2019000174261,130101,1,1,10836.0,0,0,1,61,4,2,200,0,0,8,81,1,10,12000,1,11
2019,201901,17426,2019001042391,10990.8,2019000174261,130101,1,2,14396.4,0,0,2,42,4,2,200,0,0,7,71,1,10,37000,1,11
2019,201901,17581,2019001053982,8049.6,2019000175811,10001,1,1,7894.8,0,0,1,64,1,1,100,0,0,7,71,1,10,120000,1,11
2019,201901,17581,2019001053982,8049.6,2019000175811,10001,1,2,9752.4,0,0,2,64,1,1,100,0,0,7,71,3,30,0,1,11
2019,201901,18200,2019001101734,21362.4,2019000182001,180001,1,1,21362.4,0,0,1,28,1,1,100,0,0,6,63,1,10,368000,1,11
2019,201901,18200,2019001101734,21362.4,2019000182001,180001,1,2,23684.4,0,0,2,21,1,1,100,0,0,6,63,2,20,1200,1,11
2019,201901,18355,2019001112902,2941.2,2019000183551,230001,1,1,2941.2,0,0,1,55,6,1,100,0,0,6,63,1,10,22500,1,11
2019,201901,18665,2019001134162,5882.4,2019000186651,170001,1,1,6037.2,0,0,1,60,1,1,100,0,0,3,30,1,10,125000,1,11
2019,201901,18665,2019001134162,5882.4,2019000186651,170001,1,2,6037.2,0,0,2,55,1,1,100,0,0,8,81,1,10,20000,1,11
2019,201901,18820,2019001144951,4644.0,2019000188201,230001,1,1,4489.2,1,1,1,33,1,1,100,0,0,7,71,1,10,67000,1,11
2019,201901,18820,2019001144951,4644.0,2019000188201,230001,1,2,2476.8,1,1,2,33,1,1,100,0,0,8,81,1,10,40000,1,11
2019,201901,18820,2019001144951,4644.0,2019000188201,230001,1,3,4179.6,0,0,1,2,6,1,100,0,0,0,1,0,0,999999,0,0
2019,201901,18974,2019001155010,2941.2,2019000189741,70001,1,1,2941.2,0,0,2,22,1,1,100,0,0,8,81,1,10,43000,1,11
2019,201901,18974,2019001155010,2941.2,2019000189741,70001,1,2,2167.2,0,0,1,20,1,1,100,0,0,7,71,1,10,0,1,11
2019,201901,19129,2019001164666,2322.0,2019000191291,260001,1,1,2322.0,0,0,1,56,4,1,100,0,0,6,63,1,10,76000,2,20
2019,201901,19284,2019001176062,3250.8,2019000192841,30201,1,1,3250.8,0,0,1,22,6,1,100,0,0,10,101,1,10,10000,1,11
2019,201901,19748,2019001210077,18885.6,2019000197481,130101,1,1,18730.8,2,0,2,62,1,2,200,0,0,7,71,1,10,24000,1,11
2019,201901,19748,2019001210077,18885.6,2019000197481,130101,1,2,15944.4,2,0,1,65,1,2,200,0,0,7,71,1,10,30000,2,20
2019,201901,19748,2019001210077,18885.6,2019000197481,130101,1,3,26316.0,0,0,1,39,6,2,200,0,0,6,61,1,10,24000,1,11
2019,201901,19748,2019001210077,18885.6,2019000197481,130101,1,4,26470.8,0,0,1,35,6,2,200,0,0,6,63,1,10,50000,1,11
2019,201901,20058,2019001229779,12384.0,2019000200581,20001,1,1,12384.0,0,0,1,38,1,1,100,0,0,7,71,1,10,20000,1,11
2019,201901,20058,2019001229779,12384.0,2019000200581,20001,1,2,11455.2,0,0,2,36,1,1,100,0,0,4,40,1,10,4800,1,11
2019,201901,20213,2019001241423,18885.6,2019000202131,90001,1,1,18730.8,2,0,2,46,1,1,100,0,0,7,71,3,30,0,1,11
2019,201901,20213,2019001241423,18885.6,2019000202131,90001,1,2,13312.8,2,0,1,49,1,1,100,0,0,11,114,1,10,45000,1,11
2019,201901,20213,2019001241423,18885.6,2019000202131,90001,1,3,22600.8,0,0,2,26,6,1,100,0,0,8,81,3,30,0,1,11
2019,201901,20213,2019001241423,18885.6,2019000202131,90001,1,4,64861.2,0,0,2,21,6,1,100,0,0,7,71,1,10,7800,1,11
2019,201901,20522,2019001263059,20898.0,2019000205221,30101,1,1,20898.0,0,0,1,29,6,1,100,0,0,10,101,1,10,85000,1,11
2019,201901,20677,2019001274215,9752.4,2019000206771,220001,1,1,9597.6,0,0,2,54,1,1,100,0,0,7,71,1,10,7900,1,11
2019,201901,20677,2019001274215,9752.4,2019000206771,220001,1,2,7120.8,0,0,1,56,1,1,100,0,0,6,64,1,10,32000,1,11
2019,201901,20832,2019001283848,9442.8,2019000208321,130301,1,1,9442.8,1,1,1,30,1,1,100,0,0,10,101,1,10,60000,1,11
2019,201901,20832,2019001283848,9442.8,2019000208321,130301,1,2,11455.2,1,1,2,31,1,1,100,0,0,10,101,1,10,45000,1,11
2019,201901,20832,2019001283848,9442.8,2019000208321,130301,1,3,8978.4,0,0,2,0,6,1,100,0,0,0,1,0,0,999999,0,0
2019,201901,20987,2019001294967,24922.8,2019000209871,160001,1,1,24922.8,0,0,2,64,1,1,100,0,0,6,63,3,30,0,1,11
2019,201901,20987,2019001294967,24922.8,2019000209871,160001,1,2,26935.2,0,0,1,62,1,1,100,0,0,6,63,1,10,20000,1,11
2019,201901,20987,2019001294967,24922.8,2019000209871,160001,1,3,20433.6,0,0,2,19,6,1,100,0,0,6,63,3,30,0,1,11
2019,201901,21142,2019001305610,18730.8,2019000211421,260001,1,1,18730.8,3,1,2,46,1,1,100,0,0,10,101,1,10,6000,1,11
2019,201901,21142,2019001305610,18730.8,2019000211421,260001,1,2,25542.0,3,1,1,49,1,1,100,0,0,10,101,1,10,92000,1,13
